section,aparent_dip,aparent_dip_ave
10,,
12,-42.33525811736787,-52.097330752139996
13,-60.92389634039411,-52.097330752139996
14,-66.73637273690073,-52.097330752139996
15,-40.92038350198245,-52.097330752139996
16,,-52.097330752139996
17,-45.51901339924715,-52.097330752139996
18,-40.92583040307027,-52.097330752139996
19,-25.171349201695442,-52.097330752139996
20,,-52.097330752139996
21,11.038019392227026,-52.097330752139996
22,,
23,25.72168756785999,40.87336803922474
24,44.91851629930384,40.87336803922474
25,49.949455014270235,40.87336803922474
26,38.68707599468392,40.87336803922474
27,61.927833745264564,65.90571947091632
28,60.907392561881174,65.90571947091632
29,70.41094715264771,65.90571947091632
30,64.5838761819768,65.90571947091632
31,,65.90571947091632
32,68.74245578162011,65.90571947091632
33,65.47435063588573,65.47435063588573
34,-58.55457013079802,-58.93548792630008
35,,-58.93548792630008
36,-61.00116177127856,-58.93548792630008
37,-58.4719851013561,-58.93548792630008
38,-49.903755233567495,-58.93548792630008
39,,-58.93548792630008
40,-57.932898597332155,-58.93548792630008
41,-63.2974015281926,-58.93548792630008
42,-59.14704362827163,-58.93548792630008
46,62.260788516198126,62.260788516198126
47,34.982442416110864,34.982442416110864
48,59.50573612498153,59.50573612498153
49,56.29299036628918,56.29299036628918
50,50.28295541158743,50.28295541158743
51.2,,50.28295541158743
52.1,-68.18953015750188,-68.18953015750188
